"Data Source","World Development Indicators",

"Last Updated Date","2017-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bolivia","BOL","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.57888361790528","7.12376107388949","6.33152982678764","6.99597408164745","8.20874342064649","14.1504783128077","26.3682395103969","40.0959893876951","39.9133665586338","27.8341492009849","33.4397183201444","34.234987070194","30.9433768208049","31.0934091118013","30.5747108105062","19.0409689843081",
"Brazil","BRA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.0367470808667","41.4066770821493","31.8045391549068","26.2996229088247","21.6369861928571","19.1519042991382","24.8599092111927","24.2799322936776","29.2231996409611","27.2562762687434","25.7622753357413","25.6377241684549","22.2755617369254","25.076378047209","26.4464947674925","30.8242957853315",
"Barbados","BRB","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.90806213013302","11.5968179174683","15.0384513109183","6.4083434484442","4.3371096901356","5.82429305867395","8.55339483026421","7.39106106953773","7.75318559069087","","","","","","","",
"Brunei Darussalam","BRN","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.33238086927137","6.31469352114034","6.42277265636349","6.40330051251657","6.76378888550225","7.06600122248374","6.16878285744479","6.78629376153062","6.81053482987368","6.33616547305602","10.9258515383093","12.0924782541552","12.6892748415552","12.4745194470836","15.182030168955","15.5625513584458",
"Bhutan","BTN","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169.775497309955","142.718129304062","115.24017351321","94.5990851261969","113.425540428527","91.2280061544747","83.6744400178426","79.4728689740467","92.7093092705138","73.6553186985671","34.837186716773","26.5885742697688","31.1607517149137","49.3970844717692","27.9551556719911","33.6613544383062",
"Botswana","BWA","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9048825624631","34.024277833249","38.3799744979062","39.4885565252324","52.5881585777781","121.326106664999","115.603825021335","88.5376128397767","84.8948241221252","81.5133746896474","46.2298620859839","35.1546906034944","24.8207397973046","19.459887735905","25.6015415891362","25.8450495489807",
"Central African Republic","CAF","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74480585136319","3.28600798159294","3.80233327438307","3.77688057265734","13.6335684492796","5.04317841684389","16.2931315563715","15.8002576674157","40.9267578288022","26.6141615375847","11.3375345321492","9.3127618783051","13.8640433007088","19.399004353456","22.1282192907593","16.7227443976104",
"Canada","CAN","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.394067836100574","0.371329296713204","0.31350539364513","0.309416365222521","0.28279100214952","0.281586098895911","0.30629737451786","0.229793335155507","","","","","","","","",
"Central Europe and the Baltics","CEB","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1384595172504","22.4267531754226","19.8042549737336","19.6042339122181","20.4355809122763","19.6492007966052","15.9659813106507","14.0739896226119","19.0871094387344","18.3407832790198","18.2382722064734","18.2417846048333","22.6017473297715","21.711719859339","25.8726194426295","23.1578789693712",
"Switzerland","CHE","Bank liquid reserves to bank assets ratio (%)","FD.RES.LIQU.AS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
