DATE,T10Y2Y
2013-02-27,1.64
2013-02-28,1.64
2013-03-01,1.61
2013-03-04,1.64
2013-03-05,1.65
2013-03-06,1.70
2013-03-07,1.75
2013-03-08,1.79
2013-03-11,1.80
2013-03-12,1.76
2013-03-13,1.77
2013-03-14,1.77
2013-03-15,1.76
2013-03-18,1.70
2013-03-19,1.68
2013-03-20,1.70
2013-03-21,1.68
2013-03-22,1.67
2013-03-25,1.69
2013-03-26,1.67
2013-03-27,1.62
2013-03-28,1.62
2013-03-29,.
2013-04-01,1.63
2013-04-02,1.63
2013-04-03,1.59
2013-04-04,1.56
2013-04-05,1.48
2013-04-08,1.52
2013-04-09,1.54
2013-04-10,1.60
2013-04-11,1.58
2013-04-12,1.53
2013-04-15,1.50
2013-04-16,1.51
2013-04-17,1.49
2013-04-18,1.48
2013-04-19,1.49
2013-04-22,1.48
2013-04-23,1.51
2013-04-24,1.50
2013-04-25,1.51
2013-04-26,1.48
2013-04-29,1.50
2013-04-30,1.48
2013-05-01,1.46
2013-05-02,1.46
2013-05-03,1.56
2013-05-06,1.58
2013-05-07,1.60
2013-05-08,1.59
2013-05-09,1.59
2013-05-10,1.64
2013-05-13,1.68
2013-05-14,1.70
2013-05-15,1.68
2013-05-16,1.64
2013-05-17,1.69
2013-05-20,1.71
2013-05-21,1.68
2013-05-22,1.77
2013-05-23,1.76
2013-05-24,1.75
2013-05-27,.
2013-05-28,1.86
2013-05-29,1.83
2013-05-30,1.82
2013-05-31,1.86
2013-06-03,1.83
2013-06-04,1.82
2013-06-05,1.80
2013-06-06,1.78
2013-06-07,1.85
2013-06-10,1.90
2013-06-11,1.86
2013-06-12,1.91
2013-06-13,1.87
2013-06-14,1.85
2013-06-17,1.92
2013-06-18,1.93
2013-06-19,2.02
2013-06-20,2.08
2013-06-21,2.14
2013-06-24,2.15
2013-06-25,2.17
2013-06-26,2.16
2013-06-27,2.13
2013-06-28,2.16
2013-07-01,2.16
2013-07-02,2.14
2013-07-03,2.16
2013-07-04,.
2013-07-05,2.33
2013-07-08,2.28
2013-07-09,2.28
2013-07-10,2.32
2013-07-11,2.26
2013-07-12,2.24
2013-07-15,2.23
2013-07-16,2.21
2013-07-17,2.20
2013-07-18,2.24
2013-07-19,2.18
2013-07-22,2.18
2013-07-23,2.20
2013-07-24,2.27
2013-07-25,2.29
2013-07-26,2.27
2013-07-29,2.28
2013-07-30,2.30
2013-07-31,2.29
2013-08-01,2.39
2013-08-02,2.33
2013-08-05,2.35
2013-08-06,2.35
2013-08-07,2.29
2013-08-08,2.28
2013-08-09,2.25
2013-08-12,2.29
2013-08-13,2.37
2013-08-14,2.37
2013-08-15,2.41
2013-08-16,2.48
2013-08-19,2.52
2013-08-20,2.46
2013-08-21,2.49
2013-08-22,2.48
2013-08-23,2.42
2013-08-26,2.38
2013-08-27,2.34
2013-08-28,2.38
2013-08-29,2.36
2013-08-30,2.39
2013-09-02,.
2013-09-03,2.43
2013-09-04,2.44
2013-09-05,2.46
2013-09-06,2.48
2013-09-09,2.45
2013-09-10,2.46
2013-09-11,2.46
2013-09-12,2.47
2013-09-13,2.45
2013-09-16,2.47
2013-09-17,2.47
2013-09-18,2.35
2013-09-19,2.42
2013-09-20,2.41
2013-09-23,2.37
2013-09-24,2.32
2013-09-25,2.27
2013-09-26,2.32
2013-09-27,2.30
2013-09-30,2.31
2013-10-01,2.33
2013-10-02,2.32
2013-10-03,2.29
2013-10-04,2.33
2013-10-07,2.28
2013-10-08,2.26
2013-10-09,2.31
2013-10-10,2.36
2013-10-11,2.35
2013-10-14,.
2013-10-15,2.38
2013-10-16,2.35
2013-10-17,2.28
2013-10-18,2.27
2013-10-21,2.30
2013-10-22,2.23
2013-10-23,2.20
2013-10-24,2.20
2013-10-25,2.21
2013-10-28,2.22
2013-10-29,2.22
2013-10-30,2.22
2013-10-31,2.26
2013-11-01,2.32
2013-11-04,2.31
2013-11-05,2.37
2013-11-06,2.37
2013-11-07,2.34
2013-11-08,2.45
2013-11-11,.
2013-11-12,2.46
2013-11-13,2.43
2013-11-14,2.40
2013-11-15,2.40
2013-11-18,2.36
2013-11-19,2.42
2013-11-20,2.52
2013-11-21,2.50
2013-11-22,2.44
2013-11-25,2.44
2013-11-26,2.42
2013-11-27,2.46
2013-11-28,.
2013-11-29,2.47
2013-12-02,2.51
2013-12-03,2.51
2013-12-04,2.54
2013-12-05,2.58
2013-12-06,2.58
2013-12-09,2.56
2013-12-10,2.51
2013-12-11,2.55
2013-12-12,2.55
2013-12-13,2.54
2013-12-16,2.55
2013-12-17,2.51
2013-12-18,2.57
2013-12-19,2.59
2013-12-20,2.52
2013-12-23,2.56
2013-12-24,2.61
2013-12-25,.
2013-12-26,2.58
2013-12-27,2.62
2013-12-30,2.60
2013-12-31,2.66
2014-01-01,.
2014-01-02,2.61
2014-01-03,2.60
2014-01-06,2.58
2014-01-07,2.56
2014-01-08,2.58
2014-01-09,2.53
2014-01-10,2.49
2014-01-13,2.45
2014-01-14,2.49
2014-01-15,2.49
2014-01-16,2.45
2014-01-17,2.44
2014-01-20,.
2014-01-21,2.45
2014-01-22,2.43
2014-01-23,2.40
2014-01-24,2.38
2014-01-27,2.41
2014-01-28,2.39
2014-01-29,2.33
2014-01-30,2.36
2014-01-31,2.33
2014-02-03,2.31
2014-02-04,2.33
2014-02-05,2.38
2014-02-06,2.40
2014-02-07,2.41
2014-02-10,2.38
2014-02-11,2.40
2014-02-12,2.45
2014-02-13,2.41
2014-02-14,2.43
2014-02-17,.
2014-02-18,2.40
2014-02-19,2.40
2014-02-20,2.42
2014-02-21,2.40
2014-02-24,2.40
2014-02-25,2.36
2014-02-26,2.34
2014-02-27,2.32
2014-02-28,2.33
2014-03-03,2.28
2014-03-04,2.37
2014-03-05,2.37
2014-03-06,2.37
2014-03-07,2.42
2014-03-10,2.42
2014-03-11,2.40
2014-03-12,2.36
2014-03-13,2.32
2014-03-14,2.29
2014-03-17,2.32
2014-03-18,2.32
2014-03-19,2.31
2014-03-20,2.34
2014-03-21,2.30
2014-03-24,2.27
2014-03-25,2.28
2014-03-26,2.26
2014-03-27,2.24
2014-03-28,2.28
2014-03-31,2.29
2014-04-01,2.33
2014-04-02,2.35
2014-04-03,2.34
2014-04-04,2.31
2014-04-07,2.30
2014-04-08,2.29
2014-04-09,2.34
2014-04-10,2.28
2014-04-11,2.26
2014-04-14,2.28
2014-04-15,2.25
2014-04-16,2.26
2014-04-17,2.30
2014-04-18,.
2014-04-21,2.31
2014-04-22,2.28
2014-04-23,2.27
2014-04-24,2.27
2014-04-25,2.25
2014-04-28,2.26
2014-04-29,2.27
2014-04-30,2.25
2014-05-01,2.22
2014-05-02,2.18
2014-05-05,2.20
2014-05-06,2.18
2014-05-07,2.21
2014-05-08,2.21
2014-05-09,2.22
2014-05-12,2.25
2014-05-13,2.22
2014-05-14,2.15
2014-05-15,2.12
2014-05-16,2.14
2014-05-19,2.18
2014-05-20,2.17
2014-05-21,2.17
2014-05-22,2.19
2014-05-23,2.17
2014-05-26,.
2014-05-27,2.13
2014-05-28,2.07
2014-05-29,2.08
2014-05-30,2.11
2014-06-02,2.15
2014-06-03,2.19
2014-06-04,2.20
2014-06-05,2.19
2014-06-06,2.19
2014-06-09,2.19
2014-06-10,2.19
2014-06-11,2.21
2014-06-12,2.16
2014-06-13,2.15
2014-06-16,2.12
2014-06-17,2.15
2014-06-18,2.13
2014-06-19,2.16
2014-06-20,2.13
2014-06-23,2.15
2014-06-24,2.10
2014-06-25,2.09
2014-06-26,2.07
2014-06-27,2.09
2014-06-30,2.06
2014-07-01,2.11
2014-07-02,2.15
2014-07-03,2.13
2014-07-04,.
2014-07-07,2.11
2014-07-08,2.07
2014-07-09,2.06
2014-07-10,2.09
2014-07-11,2.05
2014-07-14,2.07
2014-07-15,2.07
2014-07-16,2.05
2014-07-17,2.00
2014-07-18,1.99
2014-07-21,1.98
2014-07-22,1.99
2014-07-23,1.98
2014-07-24,1.99
2014-07-25,1.95
2014-07-28,1.96
2014-07-29,1.93
2014-07-30,2.01
2014-07-31,2.05
2014-08-01,2.05
2014-08-04,2.04
2014-08-05,2.02
2014-08-06,2.01
2014-08-07,1.99
2014-08-08,1.99
2014-08-11,1.97
2014-08-12,2.01
2014-08-13,2.00
2014-08-14,1.98
2014-08-15,1.92
2014-08-18,1.95
2014-08-19,1.94
2014-08-20,1.94
2014-08-21,1.92
2014-08-22,1.87
2014-08-25,1.86
2014-08-26,1.87
2014-08-27,1.86
2014-08-28,1.84
2014-08-29,1.87
2014-09-01,.
2014-09-02,1.89
2014-09-03,1.89
2014-09-04,1.91
2014-09-05,1.94
2014-09-08,1.94
2014-09-09,1.94
2014-09-10,1.96
2014-09-11,1.96
2014-09-12,2.04
2014-09-15,2.02
2014-09-16,2.05
2014-09-17,2.03
2014-09-18,2.04
2014-09-19,2.00
2014-09-22,1.99
2014-09-23,1.97
2014-09-24,1.98
2014-09-25,1.96
2014-09-26,1.95
2014-09-29,1.92
2014-09-30,1.94
2014-10-01,1.89
2014-10-02,1.91
2014-10-03,1.88
2014-10-06,1.89
2014-10-07,1.84
2014-10-08,1.89
2014-10-09,1.88
2014-10-10,1.86
2014-10-13,.
2014-10-14,1.82
2014-10-15,1.81
2014-10-16,1.82
2014-10-17,1.83
2014-10-20,1.83
2014-10-21,1.85
2014-10-22,1.84
2014-10-23,1.88
2014-10-24,1.88
2014-10-27,1.86
2014-10-28,1.88
2014-10-29,1.86
2014-10-30,1.84
2014-10-31,1.85
2014-11-03,1.84
2014-11-04,1.83
2014-11-05,1.84
2014-11-06,1.85
2014-11-07,1.81
2014-11-10,1.83
2014-11-11,.
2014-11-12,1.82
2014-11-13,1.82
2014-11-14,1.78
2014-11-17,1.80
2014-11-18,1.79
2014-11-19,1.82
2014-11-20,1.81
2014-11-21,1.78
2014-11-24,1.77
2014-11-25,1.76
2014-11-26,1.71
2014-11-27,.
2014-11-28,1.71
2014-12-01,1.73
2014-12-02,1.73
2014-12-03,1.72
2014-12-04,1.70
2014-12-05,1.66
2014-12-08,1.62
2014-12-09,1.58
2014-12-10,1.59
2014-12-11,1.57
2014-12-12,1.54
2014-12-15,1.52
2014-12-16,1.49
2014-12-17,1.52
2014-12-18,1.55
2014-12-19,1.50
2014-12-22,1.46
2014-12-23,1.53
2014-12-24,1.54
2014-12-25,.
2014-12-26,1.52
2014-12-29,1.50
2014-12-30,1.51
2014-12-31,1.50
2015-01-01,.
2015-01-02,1.46
2015-01-05,1.36
2015-01-06,1.32
2015-01-07,1.34
2015-01-08,1.41
2015-01-09,1.39
2015-01-12,1.36
2015-01-13,1.37
2015-01-14,1.35
2015-01-15,1.33
2015-01-16,1.34
2015-01-19,.
2015-01-20,1.29
2015-01-21,1.34
2015-01-22,1.37
2015-01-23,1.29
2015-01-26,1.29
2015-01-27,1.29
2015-01-28,1.23
2015-01-29,1.26
2015-01-30,1.21
2015-02-02,1.19
2015-02-03,1.27
2015-02-04,1.29
2015-02-05,1.31
2015-02-06,1.30
2015-02-09,1.31
2015-02-10,1.34
2015-02-11,1.33
2015-02-12,1.38
2015-02-13,1.36
2015-02-16,.
2015-02-17,1.44
2015-02-18,1.45
2015-02-19,1.44
2015-02-20,1.46
2015-02-23,1.42
2015-02-24,1.39
2015-02-25,1.35
2015-02-26,1.37
2015-02-27,1.37
2015-03-02,1.42
2015-03-03,1.44
2015-03-04,1.46
2015-03-05,1.46
2015-03-06,1.51
2015-03-09,1.50
2015-03-10,1.44
2015-03-11,1.41
2015-03-12,1.43
2015-03-13,1.45
2015-03-16,1.44
2015-03-17,1.36
2015-03-18,1.36
2015-03-19,1.35
2015-03-20,1.33
2015-03-23,1.32
2015-03-24,1.30
2015-03-25,1.34
2015-03-26,1.40
2015-03-27,1.37
2015-03-30,1.38
2015-03-31,1.38
2015-04-01,1.32
2015-04-02,1.37
2015-04-03,1.36
2015-04-06,1.41
2015-04-07,1.37
2015-04-08,1.38
2015-04-09,1.41
2015-04-10,1.39
2015-04-13,1.40
2015-04-14,1.37
2015-04-15,1.40
2015-04-16,1.40
2015-04-17,1.36
2015-04-20,1.35
2015-04-21,1.37
2015-04-22,1.42
2015-04-23,1.41
2015-04-24,1.39
2015-04-27,1.40
2015-04-28,1.44
2015-04-29,1.50
2015-04-30,1.47
2015-05-01,1.52
2015-05-04,1.56
2015-05-05,1.57
2015-05-06,1.60
2015-05-07,1.55
2015-05-08,1.57
2015-05-11,1.66
2015-05-12,1.67
2015-05-13,1.68
2015-05-14,1.67
2015-05-15,1.59
2015-05-18,1.65
2015-05-19,1.64
2015-05-20,1.66
2015-05-21,1.59
2015-05-22,1.57
2015-05-25,.
2015-05-26,1.50
2015-05-27,1.50
2015-05-28,1.51
2015-05-29,1.51
2015-06-01,1.55
2015-06-02,1.63
2015-06-03,1.69
2015-06-04,1.65
2015-06-05,1.68
2015-06-08,1.69
2015-06-09,1.70
2015-06-10,1.75
2015-06-11,1.66
2015-06-12,1.65
2015-06-15,1.64
2015-06-16,1.61
2015-06-17,1.65
2015-06-18,1.69
2015-06-19,1.61
2015-06-22,1.69
2015-06-23,1.72
2015-06-24,1.70
2015-06-25,1.72
2015-06-26,1.77
2015-06-29,1.69
2015-06-30,1.71
2015-07-01,1.74
2015-07-02,1.76
2015-07-03,.
2015-07-06,1.70
2015-07-07,1.69
2015-07-08,1.67
2015-07-09,1.72
2015-07-10,1.77
2015-07-13,1.75
2015-07-14,1.75
2015-07-15,1.72
2015-07-16,1.69
2015-07-17,1.66
2015-07-20,1.67
2015-07-21,1.64
2015-07-22,1.58
2015-07-23,1.57
2015-07-24,1.57
2015-07-27,1.55
2015-07-28,1.57
2015-07-29,1.59
2015-07-30,1.56
2015-07-31,1.53
2015-08-03,1.48
2015-08-04,1.49
2015-08-05,1.55
2015-08-06,1.52
2015-08-07,1.45
2015-08-10,1.51
2015-08-11,1.47
2015-08-12,1.47
2015-08-13,1.47
2015-08-14,1.47
2015-08-17,1.44
2015-08-18,1.46
2015-08-19,1.45
2015-08-20,1.40
2015-08-21,1.41
2015-08-24,1.42
2015-08-25,1.45
2015-08-26,1.51
2015-08-27,1.50
2015-08-28,1.47
2015-08-31,1.47
2015-09-01,1.47
2015-09-02,1.48
2015-09-03,1.47
2015-09-04,1.42
2015-09-07,.
2015-09-08,1.46
2015-09-09,1.46
2015-09-10,1.48
2015-09-11,1.49
2015-09-14,1.45
2015-09-15,1.46
2015-09-16,1.48
2015-09-17,1.51
2015-09-18,1.44
2015-09-21,1.48
2015-09-22,1.45
2015-09-23,1.46
2015-09-24,1.46
2015-09-25,1.47
2015-09-28,1.43
2015-09-29,1.41
2015-09-30,1.42
2015-10-01,1.41
2015-10-02,1.41
2015-10-05,1.46
2015-10-06,1.44
2015-10-07,1.43
2015-10-08,1.47
2015-10-09,1.47
2015-10-12,.
2015-10-13,1.42
2015-10-14,1.42
2015-10-15,1.43
2015-10-16,1.43
2015-10-19,1.43
2015-10-20,1.42
2015-10-21,1.40
2015-10-22,1.43
2015-10-23,1.43
2015-10-26,1.41
2015-10-27,1.40
2015-10-28,1.37
2015-10-29,1.44
2015-10-30,1.41
2015-11-02,1.43
2015-11-03,1.43
2015-11-04,1.41
2015-11-05,1.41
2015-11-06,1.44
2015-11-09,1.47
2015-11-10,1.45
2015-11-11,.
2015-11-12,1.43
2015-11-13,1.42
2015-11-16,1.39
2015-11-17,1.39
2015-11-18,1.37
2015-11-19,1.33
2015-11-20,1.33
2015-11-23,1.31
2015-11-24,1.31
2015-11-25,1.30
2015-11-26,.
2015-11-27,1.30
2015-11-30,1.27
2015-12-01,1.24
2015-12-02,1.24
2015-12-03,1.37
2015-12-04,1.32
2015-12-07,1.29
2015-12-08,1.30
2015-12-09,1.29
2015-12-10,1.29
2015-12-11,1.25
2015-12-14,1.26
2015-12-15,1.30
2015-12-16,1.28
2015-12-17,1.24
2015-12-18,1.22
2015-12-21,1.24
2015-12-22,1.25
2015-12-23,1.26
2015-12-24,1.22
2015-12-25,.
2015-12-28,1.19
2015-12-29,1.23
2015-12-30,1.23
2015-12-31,1.21
2016-01-01,.
2016-01-04,1.22
2016-01-05,1.21
2016-01-06,1.19
2016-01-07,1.20
2016-01-08,1.19
2016-01-11,1.23
2016-01-12,1.19
2016-01-13,1.17
2016-01-14,1.20
2016-01-15,1.18
2016-01-18,.
2016-01-19,1.18
2016-01-20,1.16
2016-01-21,1.18
2016-01-22,1.19
2016-01-25,1.15
2016-01-26,1.16
2016-01-27,1.18
2016-01-28,1.17
2016-01-29,1.18
2016-02-01,1.16
2016-02-02,1.12
2016-02-03,1.16
2016-02-04,1.17
2016-02-05,1.12
2016-02-08,1.09
2016-02-09,1.05
2016-02-10,1.00
2016-02-11,0.99
2016-02-12,1.03
2016-02-15,.
2016-02-16,1.04
2016-02-17,1.07
2016-02-18,1.04
2016-02-19,1.00
2016-02-22,0.99
2016-02-23,0.98
2016-02-24,1.00
2016-02-25,0.99
2016-02-26,0.96
2016-02-29,0.96
2016-03-01,0.98
2016-03-02,0.99
2016-03-03,0.98
2016-03-04,1.00
2016-03-07,1.00
2016-03-08,0.95
2016-03-09,1.00
2016-03-10,1.00
2016-03-11,1.01
2016-03-14,1.00
2016-03-15,0.99
2016-03-16,1.07
2016-03-17,1.04
2016-03-18,1.04
2016-03-21,1.05
2016-03-22,1.03
2016-03-23,1.01
2016-03-24,1.02
2016-03-25,.
2016-03-28,1.00
2016-03-29,1.03
2016-03-30,1.07
2016-03-31,1.05
2016-04-01,1.03
2016-04-04,1.03
2016-04-05,1.01
2016-04-06,1.03
2016-04-07,1.00
2016-04-08,1.02
2016-04-11,1.03
2016-04-12,1.05
2016-04-13,1.02
2016-04-14,1.03
2016-04-15,1.02
2016-04-18,1.03
2016-04-19,1.02
2016-04-20,1.05
2016-04-21,1.06
2016-04-22,1.05
2016-04-25,1.06
2016-04-26,1.08
2016-04-27,1.04
2016-04-28,1.06
2016-04-29,1.06
2016-05-02,1.08
2016-05-03,1.06
2016-05-04,1.04
2016-05-05,1.04
2016-05-06,1.05
2016-05-09,1.05
2016-05-10,1.05
2016-05-11,0.99
2016-05-12,0.99
2016-05-13,0.95
2016-05-16,0.96
2016-05-17,0.94
2016-05-18,0.97
2016-05-19,0.96
2016-05-20,0.96
2016-05-23,0.93
2016-05-24,0.94
2016-05-25,0.95
2016-05-26,0.96
2016-05-27,0.95
2016-05-30,.
2016-05-31,0.97
2016-06-01,0.94
2016-06-02,0.92
2016-06-03,0.93
2016-06-06,0.93
2016-06-07,0.94
2016-06-08,0.93
2016-06-09,0.91
2016-06-10,0.91
2016-06-13,0.89
2016-06-14,0.88
2016-06-15,0.91
2016-06-16,0.87
2016-06-17,0.92
2016-06-20,0.93
2016-06-21,0.95
2016-06-22,0.94
2016-06-23,0.96
2016-06-24,0.93
2016-06-27,0.85
2016-06-28,0.85
2016-06-29,0.88
2016-06-30,0.91
2016-07-01,0.87
2016-07-04,.
2016-07-05,0.81
2016-07-06,0.80
2016-07-07,0.82
2016-07-08,0.76
2016-07-11,0.77
2016-07-12,0.84
2016-07-13,0.80
2016-07-14,0.85
2016-07-15,0.89
2016-07-18,0.91
2016-07-19,0.86
2016-07-20,0.86
2016-07-21,0.87
2016-07-22,0.86
2016-07-25,0.86
2016-07-26,0.82
2016-07-27,0.79
2016-07-28,0.80
2016-07-29,0.79
2016-08-01,0.84
2016-08-02,0.88
2016-08-03,0.88
2016-08-04,0.87
2016-08-05,0.87
2016-08-08,0.85
2016-08-09,0.84
2016-08-10,0.81
2016-08-11,0.81
2016-08-12,0.80
2016-08-15,0.83
2016-08-16,0.81
2016-08-17,0.82
2016-08-18,0.82
2016-08-19,0.82
2016-08-22,0.79
2016-08-23,0.81
2016-08-24,0.80
2016-08-25,0.80
2016-08-26,0.78
2016-08-29,0.76
2016-08-30,0.77
2016-08-31,0.78
2016-09-01,0.79
2016-09-02,0.80
2016-09-05,.
2016-09-06,0.81
2016-09-07,0.80
2016-09-08,0.83
2016-09-09,0.88
2016-09-12,0.89
2016-09-13,0.93
2016-09-14,0.93
2016-09-15,0.97
2016-09-16,0.93
2016-09-19,0.91
2016-09-20,0.90
2016-09-21,0.87
2016-09-22,0.84
2016-09-23,0.85
2016-09-26,0.83
2016-09-27,0.81
2016-09-28,0.82
2016-09-29,0.83
2016-09-30,0.83
2016-10-03,0.83
2016-10-04,0.87
2016-10-05,0.87
2016-10-06,0.89
2016-10-07,0.90
2016-10-10,.
2016-10-11,0.90
2016-10-12,0.92
2016-10-13,0.90
2016-10-14,0.96
2016-10-17,0.96
2016-10-18,0.93
2016-10-19,0.95
2016-10-20,0.92
2016-10-21,0.90
2016-10-24,0.93
2016-10-25,0.91
2016-10-26,0.93
2016-10-27,0.98
2016-10-28,1.00
2016-10-31,0.98
2016-11-01,1.00
2016-11-02,1.00
2016-11-03,1.01
2016-11-04,0.99
2016-11-07,1.01
2016-11-08,1.01
2016-11-09,1.17
2016-11-10,1.23
2016-11-11,.
2016-11-14,1.23
2016-11-15,1.21
2016-11-16,1.22
2016-11-17,1.25
2016-11-18,1.27
2016-11-21,1.25
2016-11-22,1.24
2016-11-23,1.24
2016-11-24,.
2016-11-25,1.24
2016-11-28,1.21
2016-11-29,1.21
2016-11-30,1.26
2016-12-01,1.31
2016-12-02,1.29
2016-12-05,1.26
2016-12-06,1.27
2016-12-07,1.24
2016-12-08,1.28
2016-12-09,1.32
2016-12-12,1.34
2016-12-13,1.31
2016-12-14,1.27
2016-12-15,1.31
2016-12-16,1.32
2016-12-19,1.30
2016-12-20,1.32
2016-12-21,1.34
2016-12-22,1.33
2016-12-23,1.33
2016-12-26,.
2016-12-27,1.29
2016-12-28,1.25
2016-12-29,1.27
2016-12-30,1.25
2017-01-02,.
2017-01-03,1.23
2017-01-04,1.22
2017-01-05,1.20
2017-01-06,1.20
2017-01-09,1.17
2017-01-10,1.19
2017-01-11,1.18
2017-01-12,1.18
2017-01-13,1.19
2017-01-16,.
2017-01-17,1.16
2017-01-18,1.19
2017-01-19,1.22
2017-01-20,1.28
2017-01-23,1.25
2017-01-24,1.26
2017-01-25,1.30
2017-01-26,1.30
2017-01-27,1.27
2017-01-30,1.27
2017-01-31,1.26
2017-02-01,1.26
2017-02-02,1.27
2017-02-03,1.28
2017-02-06,1.26
2017-02-07,1.24
2017-02-08,1.19
2017-02-09,1.20
2017-02-10,1.21
2017-02-13,1.23
2017-02-14,1.22
2017-02-15,1.24
2017-02-16,1.23
2017-02-17,1.21
2017-02-20,.
2017-02-21,1.21
2017-02-22,1.20
2017-02-23,1.20
2017-02-24,1.19
2017-02-27,1.16
2017-02-28,1.14
2017-03-01,1.17
2017-03-02,1.17
2017-03-03,1.17
2017-03-06,1.18
2017-03-07,1.20
2017-03-08,1.21
2017-03-09,1.23
2017-03-10,1.22
2017-03-13,1.22
2017-03-14,1.20
2017-03-15,1.18
2017-03-16,1.18
2017-03-17,1.17
2017-03-20,1.17
2017-03-21,1.16
2017-03-22,1.13
2017-03-23,1.15
2017-03-24,1.14
2017-03-27,1.11
2017-03-28,1.12
2017-03-29,1.13
2017-03-30,1.14
2017-03-31,1.13
2017-04-03,1.11
2017-04-04,1.11
2017-04-05,1.10
2017-04-06,1.10
2017-04-07,1.09
2017-04-10,1.08
2017-04-11,1.08
2017-04-12,1.04
2017-04-13,1.03
2017-04-14,.
2017-04-17,1.05
2017-04-18,1.00
2017-04-19,1.02
2017-04-20,1.03
2017-04-21,1.04
2017-04-24,1.03
2017-04-25,1.06
2017-04-26,1.04
2017-04-27,1.05
2017-04-28,1.01
2017-05-01,1.05
2017-05-02,1.02
2017-05-03,1.03
2017-05-04,1.04
2017-05-05,1.04
2017-05-08,1.06
2017-05-09,1.05
2017-05-10,1.06
2017-05-11,1.04
2017-05-12,1.04
2017-05-15,1.03
2017-05-16,1.04
2017-05-17,0.96
2017-05-18,0.96
2017-05-19,0.95
2017-05-22,0.96
2017-05-23,0.98
2017-05-24,0.97
2017-05-25,0.95
2017-05-26,0.95
2017-05-29,.
2017-05-30,0.93
2017-05-31,0.93
2017-06-01,0.93
2017-06-02,0.87
